,name,letters,check_sum,ids,common_letters,encrypted_names,decrypted_names
0,aczupnetwp-mfyyj-opalcexpye-977[peyac],aczupnetwpmfyyjopalcexpye,peyac,977,peyac,aczupnetwp-mfyyj-opalcexpye,projectile bunny department
2,molgbzqfib-bdd-mrozexpfkd-289[bdfmo],molgbzqfibbddmrozexpfkd,bdfmo,289,bdfmo,molgbzqfib-bdd-mrozexpfkd,projectile egg purchasing
3,enzcntvat-pnaql-qrfvta-351[antqv],enzcntvatpnaqlqrfvta,antqv,351,antqv,enzcntvat-pnaql-qrfvta,rampaging candy design
4,otzkxtgzoutgr-jek-vaxingyotm-670[tgokx],otzkxtgzoutgrjekvaxingyotm,tgokx,670,tgokx,otzkxtgzoutgr-jek-vaxingyotm,international dye purchasing
5,fmsledevhsyw-gerhc-gsexmrk-qerekiqirx-126[ersgh],fmsledevhsywgerhcgsexmrkqerekiqirx,ersgh,126,ersgh,fmsledevhsyw-gerhc-gsexmrk-qerekiqirx,biohazardous candy coating management
7,dfcxsqhwzs-qobrm-gvwddwbu-532[dwbqs],dfcxsqhwzsqobrmgvwddwbu,dwbqs,532,dwbqs,dfcxsqhwzs-qobrm-gvwddwbu,projectile candy shipping
9,kwvacumz-ozilm-akidmvomz-pcvb-ikycqaqbqwv-538[mvaci],kwvacumzozilmakidmvomzpcvbikycqaqbqwv,mvaci,538,mvaci,kwvacumz-ozilm-akidmvomz-pcvb-ikycqaqbqwv,consumer grade scavenger hunt acquisition
10,sno-rdbqds-qzaahs-rsnqzfd-599[sdqan],snordbqdsqzaahsrsnqzfd,sdqan,599,sdqan,sno-rdbqds-qzaahs-rsnqzfd,top secret rabbit storage
11,zekvierkzferc-treup-ivrthlzjzkzfe-633[ezrkf],zekvierkzferctreupivrthlzjzkzfe,ezrkf,633,ezrkf,zekvierkzferc-treup-ivrthlzjzkzfe,international candy reacquisition
12,aoubshwq-suu-difqvogwbu-922[uboqs],aoubshwqsuudifqvogwbu,uboqs,922,uboqs,aoubshwq-suu-difqvogwbu,magnetic egg purchasing
13,dpotvnfs-hsbef-kfmmzcfbo-nbobhfnfou-571[fbonh],dpotvnfshsbefkfmmzcfbonbobhfnfou,fbonh,571,fbonh,dpotvnfs-hsbef-kfmmzcfbo-nbobhfnfou,consumer grade jellybean management
14,hcd-gsqfsh-qobrm-qcohwbu-gsfjwqsg-792[qsghb],hcdgsqfshqobrmqcohwbugsfjwqsg,qsghb,792,qsghb,hcd-gsqfsh-qobrm-qcohwbu-gsfjwqsg,top secret candy coating services
15,nbhofujd-cvooz-mbcpsbupsz-649[bocps],nbhofujdcvoozmbcpsbupsz,bocps,649,bocps,nbhofujd-cvooz-mbcpsbupsz,magnetic bunny laboratory
17,mvydjvxodqz-xviyt-hvivbzhzio-369[vizdh],mvydjvxodqzxviythvivbzhzio,vizdh,369,vizdh,mvydjvxodqz-xviyt-hvivbzhzio,radioactive candy management
18,bqxnfdmhb-bzmcx-bnzshmf-cdozqsldms-755[bmdsz],bqxnfdmhbbzmcxbnzshmfcdozqsldms,bmdsz,755,bmdsz,bqxnfdmhb-bzmcx-bnzshmf-cdozqsldms,cryogenic candy coating department
19,lxwbdvna-pajmn-snuuhknjw-mnbrpw-199[nwabj],lxwbdvnapajmnsnuuhknjwmnbrpw,nwabj,199,nwabj,lxwbdvna-pajmn-snuuhknjw-mnbrpw,consumer grade jellybean design
20,molgbzqfib-zxkav-zlxqfkd-ildfpqfzp-627[fzlqb],molgbzqfibzxkavzlxqfkdildfpqfzp,fzlqb,627,fzlqb,molgbzqfib-zxkav-zlxqfkd-ildfpqfzp,projectile candy coating logistics
21,iuruxlar-vrgyzoi-mxgyy-sgtgmksktz-904[gryik],iuruxlarvrgyzoimxgyysgtgmksktz,gryik,904,gryik,iuruxlar-vrgyzoi-mxgyy-sgtgmksktz,colorful plastic grass management
22,bkzrrhehdc-azrjds-qdzbpthrhshnm-729[hrdzb],bkzrrhehdcazrjdsqdzbpthrhshnm,hrdzb,729,hrdzb,bkzrrhehdc-azrjds-qdzbpthrhshnm,classified basket reacquisition
23,hplazytkpo-dnlgpyrpc-sfye-epnsyzwzrj-457[pyzel],hplazytkpodnlgpyrpcsfyeepnsyzwzrj,pyzel,457,pyzel,hplazytkpo-dnlgpyrpc-sfye-epnsyzwzrj,weaponized scavenger hunt technology
24,ajyqqgdgcb-hcjjwzcyl-umpiqfmn-366[cjqgm],ajyqqgdgcbhcjjwzcylumpiqfmn,cjqgm,366,cjqgm,ajyqqgdgcb-hcjjwzcyl-umpiqfmn,classified jellybean workshop
25,kzgwomvqk-kpwkwtibm-xczkpiaqvo-772[kwimo],kzgwomvqkkpwkwtibmxczkpiaqvo,kwimo,772,kwimo,kzgwomvqk-kpwkwtibm-xczkpiaqvo,cryogenic chocolate purchasing
26,bqvvu-nwilwcejc-ydkykhwpa-ykjpwejiajp-628[jwkpy],bqvvunwilwcejcydkykhwpaykjpwejiajp,jwkpy,628,jwkpy,bqvvu-nwilwcejc-ydkykhwpa-ykjpwejiajp,fuzzy rampaging chocolate containment
27,amlqskcp-epybc-afmamjyrc-pcqcypaf-574[capmy],amlqskcpepybcafmamjyrcpcqcypaf,capmy,574,capmy,amlqskcp-epybc-afmamjyrc-pcqcypaf,consumer grade chocolate research
28,gcfcnuls-aluxy-zfiqyl-guleyncha-994[lcuya],gcfcnulsaluxyzfiqylguleyncha,lcuya,994,lcuya,gcfcnuls-aluxy-zfiqyl-guleyncha,military grade flower marketing
30,vrurcjah-pajmn-ljwmh-bnaerlnb-771[ajnrb],vrurcjahpajmnljwmhbnaerlnb,ajnrb,771,ajnrb,vrurcjah-pajmn-ljwmh-bnaerlnb,military grade candy services
32,crwwv-bdd-rpbo-qbpqfkd-393[bdpqr],crwwvbddrpboqbpqfkd,bdpqr,393,bdpqr,crwwv-bdd-rpbo-qbpqfkd,fuzzy egg user testing
33,dzczkrip-xiruv-srjbvk-rercpjzj-607[rjzci],dzczkripxiruvsrjbvkrercpjzj,rjzci,607,rjzci,dzczkrip-xiruv-srjbvk-rercpjzj,military grade basket analysis
35,bnqqnrhud-bzmcx-qdrdzqbg-781[qbdnr],bnqqnrhudbzmcxqdrdzqbg,qbdnr,781,qbdnr,bnqqnrhud-bzmcx-qdrdzqbg,corrosive candy research
36,upq-tfdsfu-kfmmzcfbo-tupsbhf-779[fubmp],upqtfdsfukfmmzcfbotupsbhf,fubmp,779,fubmp,upq-tfdsfu-kfmmzcfbo-tupsbhf,top secret jellybean storage
